level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;source;epd identifier;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e];declared_amount
5;Coverings;5.1;Primer;5.1.01;Primer for paints and plasters;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=16829003-78a6-4862-957d-5a76cb81a9c1&version=01.00.001&stock=Environdata&lang=en;	16829003-78a6-4862-957d-5a76cb81a9c1;Penetron Admix;kg;;;;;1.19;;;;1.3;;;;1
5;Coverings;5.1;Primer;5.1.01;Primer for paints and plasters;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=fb72ff5e-11e8-4994-bc7e-e1158859521f&version=01.00.001&stock=Environdata&lang=en;fb72ff5e-11e8-4994-bc7e-e1158859521f;Penetron;kg;;;1.4;;0.568;;;;0.786;;;;1
5;Coverings;5.5;Interior covering;5.5.02;Interior paint;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=d04b8506-6aac-478e-9b5c-08dc5e0dad96&version=07.01.006&stock=Environdata&lang=en;	d04b8506-6aac-478e-9b5c-08dc5e0dad96;Kansai Nerolac Paints (Solvent Based);kg;;;;;86.6;;;;5.826;;;;1
5;Coverings;5.5;Interior covering;5.5.02;Interior paint;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=4bf052f9-c7dc-4ec7-9b5f-08dc5e0dad96&version=07.01.005&stock=Environdata&lang=en;4bf052f9-c7dc-4ec7-9b5f-08dc5e0dad96;Kansai Nerolac Paints (Industrial Coatings);kg;;;;;64.43;;;;2.511;;;;1
5;Coverings;5.5;Interior covering;5.5.02;Interior paint;IN;https://data.environdec.com/datasetdetail/process.xhtml?uuid=8596de0c-49b8-434b-9b60-08dc5e0dad96&version=07.01.006&stock=Environdata&lang=en;	8596de0c-49b8-434b-9b60-08dc5e0dad96;Kansai Nerolac Paints (Powder Coating);kg;;;;;80.63;;;;4.299;;;;1
5;Coverings;5.5;Interior covering;5.5.02;Interior paint;IN;https://api.environdec.com/api/v1/EPDLibrary/Files/dd89c07a-2441-406d-e8de-08dc7a67eb3e/Data;	dd89c07a-2441-406d-e8de-08dc7a67eb3e;Kansai Nerolac Paints (Water Based);kg;;;;;26.93;;;;1.313;;;;1
5;Coverings;5.1;Primer;5.1.01;Primer for paints and plasters;IN;https://epdnorway.lca-data.com/datasetdetail/process.xhtml?uuid=c163ca66-6fdd-4fd5-a790-d8d5b8eae19e&version=00.03.001&stock=PUBLIC&lang=en;c163ca66-6fdd-4fd5-a790-d8d5b8eae19e;Jotashield WaterXtreme Topcoat;kg;;1280.0;;;44.34;;;;2.783;;;;1
5;Coverings;5.1;Primer;5.1.01;Primer for paints and plasters;IN;https://epdnorway.lca-data.com/datasetdetail/process.xhtml?uuid=dbda6c25-09e3-410f-86e6-e6dffd8c9c39&version=00.03.001&stock=PUBLIC&lang=en;dbda6c25-09e3-410f-86e6-e6dffd8c9c39;Jotashield WaterXtreme Basecoat;kg;;1380.0;;;39.12;;;;2.383;;;;1
1;Mineral building products;1.3;Bricks, blocks and elements;1.3.07;Tiles and cladding panels;UK;https://www.johnson-tiles.com/media/pdf/declaration_epd_signed_EPD_Johnson_Tiles_EPD_19-06-2022_1655662238.pdf;;Johnson Tiles;m2;;;13.91;;129.0;;;;8.47;;;;1
5;Coverings;5.1;Primer;5.1.01;Primer for paints and plasters;IN;https://epdnorway.lca-data.com/datasetdetail/process.xhtml?uuid=ea5622f2-81be-4a1f-a14b-b6dda7aa6555&version=00.03.001&stock=PUBLIC&lang=en;ea5622f2-81be-4a1f-a14b-b6dda7aa6555;Acrylic Emulsion Primer (I), Jotun India Private Limited;kg;;1540.0;;;15.84;;;;0.7554;;;;1
