level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;description;source;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e]
1;Mineral building products;1.2;Concrete aggregates;1.2.01;Sand and gravel;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aggregate (mixed gravel/crushed stone) ;kg;;1600.0;;;0.11;;;;0.009;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.03;Aerated concrete;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Aircrete (autoclaved aerated concrete) ;kg;;500.0;;;3.7;;;;0.5;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.07;Tiles and cladding panels;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Asphalt shingles ;kg;;;15.0;;11.0;;;;0.24;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.02;Fired brick;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Brick - Bulls trench kiln ;kg;;;;;3.6;;;;0.32;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.02;Fired brick;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Brick - Clamp kiln ;kg;;;;;6.3;;;;0.57;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.02;Fired brick;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Brick - High draught/zigzag kiln ;kg;;;;;6.5;;;;0.59;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.02;Fired brick;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Brick - Hoffman kiln ;kg;;;;;3.5;;;;0.31;;;
1;Mineral building products;1.3;Bricks blocks and elements;1.3.02;Fired brick;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Brick (common/facing) ;kg;;1760.0;;;4.4;;;;0.39;;;
1;Mineral building products;1.1;Binder;1.1.01;Cement;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cement (ordinary Portland cement OPC) ;kg;;1440.0;;;6.4;;;;0.91;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.04;Renders and plasters;IN;EDGE LCA Handbook;https://edgebuildings.com/wp-content/uploads/2022/04/IFC-India-Construction-Materials-Database-Methodology-Report.pdf;Cement based plaster ;kg;;2200.0;;;4.8;;;;0.44;;;
