level_2_text;level_2_index;source;type;comment;country;name;declared_unit;label_score
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/d9fd76f0-190d-437d-bb07-549963b32d65;official;;Germany;Beton der Druckfestigkeitsklasse C 20/25;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/71667cf3-ede8-42d2-b0ff-6f1071ad3b86;official;;Germany;Beton der Druckfestigkeitsklasse C 25/30;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/b6096c9c-1248-4ce1-9c2d-f4a48aade80f;official;;Germany;Beton der Druckfestigkeitsklasse C 30/37;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/cbc63bd5-2bfe-4381-b644-78df1bce86f3;official;;Germany;Beton der Druckfestigkeitsklasse C 35/45;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/2b2d1f3f-ab92-449d-8a2e-cd7e85818406;official;;Germany;Beton der Druckfestigkeitsklasse C 50/60;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/4d614cb9-2751-47de-9913-8090006ad5ab;official;;Germany;Building products made of concrete and concrete elements - Firmengruppe Max Bögl - Concrete C30/37;m3;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/69cb90b8-560a-4bce-b4f8-7fa5220eccdc;official;;Germany;Building products made of concrete and concrete elements - Firmengruppe Max Bögl - Concrete C30/37 blast furnace cement;m3;B
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/5111b232-8956-494f-98de-f3ae24de2c40;official;;Germany;Building products made of concrete and concrete elements - Firmengruppe Max Bögl - Concrete C30/37 fly ash;m3;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/0a7ca5e9-a056-48a0-8cd6-db0b10d2005c;official;;Germany;Building products made of concrete and concrete elements - Firmengruppe Max Bögl - Concrete C30/37 ground granulated blast furnace slag;m3;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/d5d98d4b-a9ba-4fb3-b2d2-6766f8ef5a59;official;;Germany;Concrete C20/25;m3;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/8347f9a7-f4ec-4a36-a266-a0281f5fd16d;official;;Germany;Concrete C25/30;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/b3fb0ba9-2376-49bf-b21a-7f7a5cd97233;official;;Germany;Concrete C30/37;m3;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/90999905-ace2-49ee-90f0-f2a649c8989e;official;;Germany;Concrete C35/45;m3;C
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/5f9cf5f3-c5e1-4b32-8359-a9102f1483ec;official;;Germany;Concrete C50/60;m3;D
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/b66eed7c-c924-4c6a-b906-f2cd08189451;official;;Germany;Concrete pipe and concrete shaft C40/50 - Bundesfachverband Betonkanalsysteme;kg;E
Ready mixed concrete;3;https://www.environdec.com/library/epd6471;official;;India;JSW M 20 Ready Mixed Concrete (RMC);m3;D
Ready mixed concrete;3;https://www.environdec.com/library/epd6471;official;;India;JSW M 25 Ready Mixed Concrete (RMC);m3;C
Ready mixed concrete;3;https://www.environdec.com/library/epd6471;official;;India;JSW M 30 Ready Mixed Concrete (RMC);m3;D
Ready mixed concrete;3;https://www.environdec.com/library/epd6471;official;;India;JSW M 35 Ready Mixed Concrete (RMC);m3;D
Ready mixed concrete;3;https://www.environdec.com/library/epd6471;official;;India;JSW M 40 Ready Mixed Concrete (RMC);m3;D
Ready mixed concrete;3;https://www.environdec.com/library/epd6471;official;;India;JSW M 50 Ready Mixed Concrete (RMC);m3;F
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);Cambodia;Ready-mix concrete C20/25;m3;G
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/9702d9ab-2af2-4fdc-9d99-225583a9ffb7;official;;Germany;Ready-mix concrete C20/25;m3;G
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/923e1c71-f172-4902-a5f5-c4a1e8a773bc;official;;Germany;Ready-mix concrete C20/25;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);India;Ready-mix concrete C20/25;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);Indonesia;Ready-mix concrete C20/25;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);Thailand;Ready-mix concrete C20/25;m3;E
Ready mixed concrete;3;GFA-HEAT;generic;Created based on e3d7a045-ee91-43ac-8fb4-a5216c65ba0b (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e3d7a045-ee91-43ac-8fb4-a5216c65ba0b);Vietnam;Ready-mix concrete C20/25;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Cambodia;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/d2ae1721-bb2a-4386-9d9f-abb1c774b0a8;official;;Germany;Ready-mix concrete C25/30;m3;D
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);India;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Indonesia;Ready-mix concrete C25/30;m3;G
Ready mixed concrete;3;GFA-HEAT;generic;Created based on a71e60a5-b64b-4715-ae8a-c8c8819149d2 (https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a71e60a5-b64b-4715-ae8a-c8c8819149d2);Thailand;Ready-mix concrete C25/30;m3;G
