level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e];declared_amount;UUID
;;;;;;ID;Aggregate (mixed gravel/crushed stone);kg;;;;;;;;;0.008;;;;1;
;;;;;;VN;Aggregate (mixed gravel/crushed stone);kg;;;;;;;;;0.0073;;;;1;
;;;;;;KH;Aggregate (mixed gravel/crushed stone);kg;;;;;;;;;0.0069;;;;1;
;;;;;;TH;Aggregate (mixed gravel/crushed stone);kg;;;;;;;;;0.0063;;;;1;
;;;;;;ID;Aluminum extruded profile;kg;;;;;;;;;28.3474;;;;1;
;;;;;;VN;Aluminum extruded profile;kg;;;;;;;;;25.0358;;;;1;
;;;;;;KH;Aluminum extruded profile;kg;;;;;;;;;23.0926;;;;1;
;;;;;;TH;Aluminum extruded profile;kg;;;;;;;;;20.0;;;;1;
;;;;;;ID;Aluminum extruded profile (window frame);kg;;;;;;;;;25.7853;;;;1;
;;;;;;VN;Aluminum extruded profile (window frame);kg;;;;;;;;;25.6324;;;;1;
;;;;;;KH;Aluminum extruded profile (window frame);kg;;;;;;;;;25.5427;;;;1;
;;;;;;TH;Aluminum extruded profile (window frame);kg;;;;;;;;;25.4;;;;1;
;;;;;;ID;Aluminum ingot;kg;;;;;;;;;26.5263;;;;1;
;;;;;;VN;Aluminum ingot;kg;;;;;;;;;23.3421;;;;1;
;;;;;;KH;Aluminum ingot;kg;;;;;;;;;21.4737;;;;1;
;;;;;;TH;Aluminum ingot;kg;;;;;;;;;18.5;;;;1;
;;;;;;ID;Aluminum profiled cladding;kg;;;;;;;;;29.9895;;;;1;
;;;;;;VN;Aluminum profiled cladding;kg;;;;;;;;;26.4232;;;;1;
;;;;;;KH;Aluminum profiled cladding;kg;;;;;;;;;24.3305;;;;1;
;;;;;;TH;Aluminum profiled cladding;kg;;;;;;;;;21.0;;;;1;
;;;;;;ID;Aluminum sheet;kg;;;;;;;;;27.3474;;;;1;
;;;;;;VN;Aluminum sheet;kg;;;;;;;;;24.0358;;;;1;
;;;;;;KH;Aluminum sheet;kg;;;;;;;;;22.0926;;;;1;
;;;;;;TH;Aluminum sheet;kg;;;;;;;;;19.0;;;;1;
;;;;;;ID;Aluminum thin composite cladding;kg;;;;;;;;;17.9374;;;;1;
;;;;;;VN;Aluminum thin composite cladding;kg;;;;;;;;;17.8928;;;;1;
;;;;;;KH;Aluminum thin composite cladding;kg;;;;;;;;;17.8666;;;;1;
;;;;;;TH;Aluminum thin composite cladding;kg;;;;;;;;;17.825;;;;1;
;;;;;;ID;Bamboo flooring;kg;;;;;;;;;2.286;;;;1;
;;;;;;VN;Bamboo flooring;kg;;;;;;;;;2.2761;;;;1;
;;;;;;KH;Bamboo flooring;kg;;;;;;;;;2.2703;;;;1;
;;;;;;TH;Bamboo flooring;kg;;;;;;;;;2.261;;;;1;
1;;1;;1;Cement;ID;BF Slag;kg;;;;;;;;;0.066;;;;1;
1;;1;;1;Cement;VN;BF Slag;kg;;;;;;;;;0.066;;;;1;
1;;1;;1;Cement;KH;BF Slag;kg;;;;;;;;;0.066;;;;1;
1;;1;;1;Cement;TH;BF Slag;kg;;;;;;;;;0.066;;;;1;
;;;;;;ID;Calcined gypsum (gypsum hemihydrate, plaster of Paris);kg;;;;;;;;;0.123;;;;1;
;;;;;;VN;Calcined gypsum (gypsum hemihydrate, plaster of Paris);kg;;;;;;;;;0.1181;;;;1;
;;;;;;KH;Calcined gypsum (gypsum hemihydrate, plaster of Paris);kg;;;;;;;;;0.1151;;;;1;
;;;;;;TH;Calcined gypsum (gypsum hemihydrate, plaster of Paris);kg;;;;;;;;;0.1105;;;;1;
6;;2;;5;Textile flooring;ID;Carpet (nylon);kg;;;;;;;;;6.9571;;;;1;
6;;2;;5;Textile flooring;VN;Carpet (nylon);kg;;;;;;;;;6.9265;;;;1;
6;;2;;5;Textile flooring;KH;Carpet (nylon);kg;;;;;;;;;6.9085;;;;1;
6;;2;;5;Textile flooring;TH;Carpet (nylon);kg;;;;;;;;;6.88;;;;1;
;;;;;;ID;Carpet tile (nylon);kg;;;;;;;;;2.2696;;;;1;
;;;;;;VN;Carpet tile (nylon);kg;;;;;;;;;2.2479;;;;1;
;;;;;;KH;Carpet tile (nylon);kg;;;;;;;;;2.2352;;;;1;
;;;;;;TH;Carpet tile (nylon);kg;;;;;;;;;2.215;;;;1;
;;;;;;ID;Cement (ordinary Portland cement, OPC);kg;;;;;;;;;0.8885;;;;1;
;;;;;;VN;Cement (ordinary Portland cement, OPC);kg;;;;;;;;;0.8732;;;;1;
;;;;;;KH;Cement (ordinary Portland cement, OPC);kg;;;;;;;;;0.8643;;;;1;
;;;;;;TH;Cement (ordinary Portland cement, OPC);kg;;;;;;;;;0.85;;;;1;
;;;;;;ID;Cement-based terrazzo (in-situ);kg;;;;;;;;;0.2998;;;;1;
;;;;;;VN;Cement-based terrazzo (in-situ);kg;;;;;;;;;0.2997;;;;1;
;;;;;;KH;Cement-based terrazzo (in-situ);kg;;;;;;;;;0.2997;;;;1;
;;;;;;TH;Cement-based terrazzo (in-situ);kg;;;;;;;;;0.2996;;;;1;
;;;;;;ID;Cement-based terrazzo tile;kg;;;;;;;;;0.4921;;;;1;
;;;;;;VN;Cement-based terrazzo tile;kg;;;;;;;;;0.4794;;;;1;
;;;;;;KH;Cement-based terrazzo tile;kg;;;;;;;;;0.4719;;;;1;
;;;;;;TH;Cement-based terrazzo tile;kg;;;;;;;;;0.46;;;;1;
;;;;;;ID;Copper sheet;kg;;;;;;;;;7.0779;;;;1;
;;;;;;VN;Copper sheet;kg;;;;;;;;;6.8486;;;;1;
;;;;;;KH;Copper sheet;kg;;;;;;;;;6.7141;;;;1;
;;;;;;TH;Copper sheet;kg;;;;;;;;;6.5;;;;1;
;;;;;;ID;Cork flooring tile;kg;;;;;;;;;0.41;;;;1;
;;;;;;VN;Cork flooring tile;kg;;;;;;;;;0.41;;;;1;
;;;;;;KH;Cork flooring tile;kg;;;;;;;;;0.41;;;;1;
;;;;;;TH;Cork flooring tile;kg;;;;;;;;;0.41;;;;1;
;;;;;;ID;FaLG (fly ash/lime/gypsum) block;kg;;;;;;;;;0.2;;;;1;
;;;;;;VN;FaLG (fly ash/lime/gypsum) block;kg;;;;;;;;;0.2;;;;1;
;;;;;;KH;FaLG (fly ash/lime/gypsum) block;kg;;;;;;;;;0.2;;;;1;
;;;;;;TH;FaLG (fly ash/lime/gypsum) block;kg;;;;;;;;;0.2;;;;1;
;;;;;;ID;Ferrocement roof panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;VN;Ferrocement roof panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;KH;Ferrocement roof panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;TH;Ferrocement roof panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;ID;Ferrocement wall panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;VN;Ferrocement wall panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;KH;Ferrocement wall panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;TH;Ferrocement wall panel;kg;;;;;;;;;0.29;;;;1;
;;;;;;ID;Fiber cement board;kg;;;;;;;;;0.4012;;;;1;
;;;;;;VN;Fiber cement board;kg;;;;;;;;;0.395;;;;1;
;;;;;;KH;Fiber cement board;kg;;;;;;;;;0.3913;;;;1;
;;;;;;TH;Fiber cement board;kg;;;;;;;;;0.3855;;;;1;
;;;;;;ID;Float glass;kg;;;;;;;;;1.0998;;;;1;
;;;;;;VN;Float glass;kg;;;;;;;;;1.0285;;;;1;
;;;;;;KH;Float glass;kg;;;;;;;;;0.9866;;;;1;
;;;;;;TH;Float glass;kg;;;;;;;;;0.92;;;;1;
;;;;;;ID;Flooring adhesive for vinyl/carpet/linoleum;kg;;;;;;;;;1.798;;;;1;
;;;;;;VN;Flooring adhesive for vinyl/carpet/linoleum;kg;;;;;;;;;1.7254;;;;1;
;;;;;;KH;Flooring adhesive for vinyl/carpet/linoleum;kg;;;;;;;;;1.6828;;;;1;
;;;;;;TH;Flooring adhesive for vinyl/carpet/linoleum;kg;;;;;;;;;1.615;;;;1;
;;;;;;ID;Glass reinforced concrete;kg;;;;;;;;;0.16;;;;1;
;;;;;;VN;Glass reinforced concrete;kg;;;;;;;;;0.16;;;;1;
;;;;;;KH;Glass reinforced concrete;kg;;;;;;;;;0.16;;;;1;
;;;;;;TH;Glass reinforced concrete;kg;;;;;;;;;0.16;;;;1;
;;;;;;ID;Glass wool;kg;;;;;;;;;2.2495;;;;1;
;;;;;;VN;Glass wool;kg;;;;;;;;;2.0712;;;;1;
;;;;;;KH;Glass wool;kg;;;;;;;;;1.9665;;;;1;
;;;;;;TH;Glass wool;kg;;;;;;;;;1.8;;;;1;
;;;;;;ID;Glazed ceramic floor tiles;kg;;;;;;;;;0.6523;;;;1;
;;;;;;VN;Glazed ceramic floor tiles;kg;;;;;;;;;0.6397;;;;1;
;;;;;;KH;Glazed ceramic floor tiles;kg;;;;;;;;;0.6323;;;;1;
;;;;;;TH;Glazed ceramic floor tiles;kg;;;;;;;;;0.6205;;;;1;
;;;;;;ID;Jute flooring;kg;;;;;;;;;0.7132;;;;1;
;;;;;;VN;Jute flooring;kg;;;;;;;;;0.5731;;;;1;
;;;;;;KH;Jute flooring;kg;;;;;;;;;0.4908;;;;1;
;;;;;;TH;Jute flooring;kg;;;;;;;;;0.36;;;;1;
1;;1;;2;Lime;ID;Lime (hydrated lime needed for aircrete, FaLG blocks);kg;;;;;;;;;1.2732;;;;1;
1;;1;;2;Lime;VN;Lime (hydrated lime needed for aircrete, FaLG blocks);kg;;;;;;;;;1.2541;;;;1;
1;;1;;2;Lime;KH;Lime (hydrated lime needed for aircrete, FaLG blocks);kg;;;;;;;;;1.2428;;;;1;
1;;1;;2;Lime;TH;Lime (hydrated lime needed for aircrete, FaLG blocks);kg;;;;;;;;;1.225;;;;1;
;;;;;;ID;Linoleum flooring tile;kg;;;;;;;;;1.1;;;;1;
;;;;;;VN;Linoleum flooring tile;kg;;;;;;;;;1.1;;;;1;
;;;;;;KH;Linoleum flooring tile;kg;;;;;;;;;1.1;;;;1;
;;;;;;TH;Linoleum flooring tile;kg;;;;;;;;;1.1;;;;1;
;;;;;;ID;OPC stabilized soil block;kg;;;;;;;;;0.096;;;;1;
;;;;;;VN;OPC stabilized soil block;kg;;;;;;;;;0.096;;;;1;
;;;;;;KH;OPC stabilized soil block;kg;;;;;;;;;0.096;;;;1;
;;;;;;TH;OPC stabilized soil block;kg;;;;;;;;;0.096;;;;1;
;;;;;;ID;PFA (pulverized fuel ash)/fly ash cement (also known as pozzolana);kg;;;;;;;;;0.6255;;;;1;
;;;;;;VN;PFA (pulverized fuel ash)/fly ash cement (also known as pozzolana);kg;;;;;;;;;0.6152;;;;1;
;;;;;;KH;PFA (pulverized fuel ash)/fly ash cement (also known as pozzolana);kg;;;;;;;;;0.6091;;;;1;
;;;;;;TH;PFA (pulverized fuel ash)/fly ash cement (also known as pozzolana);kg;;;;;;;;;0.5995;;;;1;
;;;;;;ID;PFA stabilized soil block;kg;;;;;;;;;0.01;;;;1;
;;;;;;VN;PFA stabilized soil block;kg;;;;;;;;;0.01;;;;1;
;;;;;;KH;PFA stabilized soil block;kg;;;;;;;;;0.01;;;;1;
;;;;;;TH;PFA stabilized soil block;kg;;;;;;;;;0.01;;;;1;
;;;;;;ID;Portland slag cement;kg;;;;;;;;;0.6746;;;;1;
;;;;;;VN;Portland slag cement;kg;;;;;;;;;0.6637;;;;1;
;;;;;;KH;Portland slag cement;kg;;;;;;;;;0.6572;;;;1;
;;;;;;TH;Portland slag cement;kg;;;;;;;;;0.647;;;;1;
;;;;;;ID;Portland slag cement stabilized soil blocks;kg;;;;;;;;;0.073;;;;1;
;;;;;;VN;Portland slag cement stabilized soil blocks;kg;;;;;;;;;0.073;;;;1;
;;;;;;KH;Portland slag cement stabilized soil blocks;kg;;;;;;;;;0.073;;;;1;
;;;;;;TH;Portland slag cement stabilized soil blocks;kg;;;;;;;;;0.073;;;;1;
1;;1;;4;Clay;ID;Rammed earth;kg;;;;;;;;;-0.009;;;;1;
1;;1;;4;Clay;VN;Rammed earth;kg;;;;;;;;;-0.0095;;;;1;
1;;1;;4;Clay;KH;Rammed earth;kg;;;;;;;;;-0.0098;;;;1;
1;;1;;4;Clay;TH;Rammed earth;kg;;;;;;;;;-0.0102;;;;1;
;;;;;;ID;Ready mix concrete with fly-ash (30% pozzolana);kg;;;;;;;;;0.0838;;;;1;
;;;;;;VN;Ready mix concrete with fly-ash (30% pozzolana);kg;;;;;;;;;0.0837;;;;1;
;;;;;;KH;Ready mix concrete with fly-ash (30% pozzolana);kg;;;;;;;;;0.0837;;;;1;
;;;;;;TH;Ready mix concrete with fly-ash (30% pozzolana);kg;;;;;;;;;0.0836;;;;1;
;;;;;;ID;Ready mix concrete with ordinary Portland cement (OPC);kg;;;;;;;;;0.1098;;;;1;
;;;;;;VN;Ready mix concrete with ordinary Portland cement (OPC);kg;;;;;;;;;0.1097;;;;1;
;;;;;;KH;Ready mix concrete with ordinary Portland cement (OPC);kg;;;;;;;;;0.1097;;;;1;
;;;;;;TH;Ready mix concrete with ordinary Portland cement (OPC);kg;;;;;;;;;0.1096;;;;1;
;;;;;;ID;Ready mix concrete with Portland slag cement (25% GGBS);kg;;;;;;;;;0.0888;;;;1;
;;;;;;VN;Ready mix concrete with Portland slag cement (25% GGBS);kg;;;;;;;;;0.0887;;;;1;
