level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;name;declared_unit;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3 [kgCo2e];gwp_c4 [kgCo2e];gwp_d [kgCo2e];declared_amount;UUID
3;;1;;1;Structural timber;IN;Bamboo - structural culm (local);kg;1;700;;;;;;;0.4;;;;1;
3;;1;;1;Structural timber;ID;Bamboo - structural culm (local);kg;1;700;;;;;;;0.4;;;;1;
3;;1;;1;Structural timber;VN;Bamboo - structural culm (local);kg;1;700;;;;;;;0.4;;;;1;
3;;1;;1;Structural timber;KH;Bamboo - structural culm (local);kg;1;700;;;;;;;0.4;;;;1;
3;;1;;1;Structural timber;TH;Bamboo - structural culm (local);kg;1;700;;;;;;;0.4;;;;1;
3;;1;;4;Glue-laminated timber;IN;Bamboo - laminated structural;m3;585;585;;;;;;;322.0;;;;1;
3;;1;;4;Glue-laminated timber;ID;Bamboo - laminated structural;m3;585;585;;;;;;;322.0;;;;1;
3;;1;;4;Glue-laminated timber;VN;Bamboo - laminated structural;m3;585;585;;;;;;;322.0;;;;1;
3;;1;;4;Glue-laminated timber;KH;Bamboo - laminated structural;m3;585;585;;;;;;;322.0;;;;1;
3;;1;;4;Glue-laminated timber;TH;Bamboo - laminated structural;m3;585;585;;;;;;;322.0;;;;1;
3;;2;;10;Wood-based elements;IN;Bamboo scrimber (engineered, higher-carbon);m3;1100;1100;;;;;;;1571.0;;;;1;
3;;2;;10;Wood-based elements;ID;Bamboo scrimber (engineered, higher-carbon);m3;1100;1100;;;;;;;1571.0;;;;1;
3;;2;;10;Wood-based elements;VN;Bamboo scrimber (engineered, higher-carbon);m3;1100;1100;;;;;;;1571.0;;;;1;
3;;2;;10;Wood-based elements;KH;Bamboo scrimber (engineered, higher-carbon);m3;1100;1100;;;;;;;1571.0;;;;1;
3;;2;;10;Wood-based elements;TH;Bamboo scrimber (engineered, higher-carbon);m3;1100;1100;;;;;;;1571.0;;;;1;
1;;3;;8;Natural cut stone;IN;Laterite stone block;m3;1900;1900;;;;;;;150.0;;;;1;
1;;3;;8;Natural cut stone;ID;Laterite stone block;m3;1900;1900;;;;;;;150.0;;;;1;
1;;3;;8;Natural cut stone;VN;Laterite stone block;m3;1900;1900;;;;;;;150.0;;;;1;
1;;3;;8;Natural cut stone;KH;Laterite stone block;m3;1900;1900;;;;;;;150.0;;;;1;
1;;3;;8;Natural cut stone;TH;Laterite stone block;m3;1900;1900;;;;;;;150.0;;;;1;
1;;1;;4;Clay;IN;Cement-stabilised rammed earth (5-8%);m3;2000;2000;;;;;;;85.0;;;;1;
1;;1;;4;Clay;ID;Cement-stabilised rammed earth (5-8%);m3;2000;2000;;;;;;;85.0;;;;1;
1;;1;;4;Clay;VN;Cement-stabilised rammed earth (5-8%);m3;2000;2000;;;;;;;85.0;;;;1;
1;;1;;4;Clay;KH;Cement-stabilised rammed earth (5-8%);m3;2000;2000;;;;;;;85.0;;;;1;
1;;1;;4;Clay;TH;Cement-stabilised rammed earth (5-8%);m3;2000;2000;;;;;;;85.0;;;;1;
1;;4;;2;Mortar (masonry);IN;Lime mortar with jaggery admixture;kg;1;1800;;;;;;;0.2;;;;1;
1;;4;;2;Mortar (masonry);ID;Lime mortar with jaggery admixture;kg;1;1800;;;;;;;0.2;;;;1;
1;;4;;2;Mortar (masonry);VN;Lime mortar with jaggery admixture;kg;1;1800;;;;;;;0.2;;;;1;
1;;4;;2;Mortar (masonry);KH;Lime mortar with jaggery admixture;kg;1;1800;;;;;;;0.2;;;;1;
1;;4;;2;Mortar (masonry);TH;Lime mortar with jaggery admixture;kg;1;1800;;;;;;;0.2;;;;1;
