level_0_index;level_0_text;level_1_index;level_1_text;level_2_index;level_2_text;country;description;source;name;declared_unit;declared_amount;weight [kg];volume density [kg/m3];area density [kg/m2];linear density [kg/m];penrt_a1a3 [MJ];penrt_c3 [MJ];penrt_c4 [MJ];penrt_d [MJ];gwp_a1a3 [kgCo2e];gwp_c3  [kgCo2e];gwp_c4 [kgCo2e];gwp_d  [kgCo2e]
1;Mineral building products;1.3;Bricks, blocks and elements;1.3.2;Fired brick;IN;International EPD system;mailto:kontakt@heat-international.de;Jay Jalaram Brick Works;kg;1000.0;;;;;1570.0;;;;78.7;;;
1;Mineral building products;1.1;Binder;1.1.1;Cement;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW Portland Slag Cement (PSC);kg;1000.0;;;;;1343.56;;;;325.14;;;
1;Mineral building products;1.1;Binder;1.1.1;Cement;IN;International EPD system: Aditya;mailto:kontakt@heat-international.de;Aditya Birla Ordinary Portland Cement (OPC);kg;1000.0;;;;;5960.0;;;;990.0;;;
1;Mineral building products;1.1;Binder;1.1.1;Cement;IN;International EPD system: Aditya;mailto:kontakt@heat-international.de;Aditya Birla Pozzolana Portland Cement (PPC);kg;1000.0;;;;;4440.0;;;;706.0;;;
1;Mineral building products;1.1;Binder;1.1.1;Cement;IN;International EPD system: Aditya;mailto:kontakt@heat-international.de;Aditya Birla Portland Slag Cement (PSC);kg;1000.0;;;;;3480.0;;;;484.99999999999994;;;
1;Mineral building products;1.1;Binder;1.1.1;Cement;IN;International EPD system;mailto:kontakt@heat-international.de;Aditya Birla Portland Composite Cement (PCC);kg;1000.0;;;;;3660.0;;;;538.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 7.5 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;952.0;;;;96.30000000000001;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 10 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;776.0;;;;99.2;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 25 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;1390.0;;;;168.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 30 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;1660.0;;;;243.00000000000003;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 35 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;1740.0;;;;254.99999999999997;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 40 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;1820.0;;;;254.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 20 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;1340.0;;;;164.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 45 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;2029.9999999999998;;;;363.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 50 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;2029.9999999999998;;;;449.0;;;
1;Mineral building products;1.4;Mortar and Concrete;1.4.1;Ready mixed concrete;IN;International EPD system: JSW;mailto:kontakt@heat-international.de;JSW M 60 Ready Mixed Concrete (RMC);m3;;1000.0;1000.0;;;3690.0;;;;479.0;;;
4;Metals;4.1;Steel and iron;4.1.1;Steel reinforing bar;IN;International EPD system;mailto:kontakt@heat-international.de;Steel bar from Tata Steel Limited;kg;;1000.0;;;;26503.1;;;;2727.16;;;
1;Mineral building products;1.1;Binder;1.1.1;Cement;KH;International EPD system;mailto:kontakt@heat-international.de;Chip Mong INSEE Cement;kg;1000.0;;;;;3835.0;;;;844.6;;;
7;Components for windows and curtain walls;7.2;Infill;7.2.1;Transparent infill;IN;International EPD system;mailto:kontakt@heat-international.de;Clear Glass PLANILUX with thickness of 5 mm;m2;;;;12.5;;176.0;;;;162.0;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (50 mm);m2;;;;;;202.99999999999997;;;;10.5;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (75 mm);m2;;;;;;257.0;;;;12.4;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (100 mm);m2;;;;;;312.0;;;;14.299999999999999;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with EPS board (120 mm);m2;;;;;;356.0;;;;15.8;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (50 mm);m2;;;;;;263.0;;;;13.200000000000001;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (75 mm);m2;;;;;;348.0;;;;16.4;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (100 mm);m2;;;;;;433.0;;;;19.7;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with XPS board (120 mm);m2;;;;;;501.99999999999994;;;;22.0;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (50 mm);m2;;;;;;219.0;;;;16.5;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (75 mm);m2;;;;;;282.0;;;;21.299999999999997;;;
2;Insulation materials;2.21;Thermal insulation composite system;2.21.01;Thermal insulation composite system;IN;International EPD system: Berger;mailto:kontakt@heat-international.de;Berger ETICS (External Thermal Insulation & Composite Systems) with Mineral-wool board (100 mm);m2;;;;;;345.0;;;;26.099999999999998;;;
